time-stamp,acode,bcode,ccode,type,ret_code
1/3/18 8:32 AM,25992,443,55005,GET,200
1/3/18 8:32 AM,23322,58007,58007,POST,200
1/3/18 8:32 AM,35044,58007,58007,POST,200
1/3/18 8:32 AM,55250,58017,58017,POST,200
1/3/18 8:32 AM,54994,58005,58005,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,58818,58005,58005,POST,200
1/3/18 8:32 AM,38768,58017,58017,POST,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,58618,58005,58005,GET,200
1/3/18 8:32 AM,35816,58007,58007,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,27064,58005,58005,POST,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,54758,58005,58005,GET,200
1/3/18 8:32 AM,28430,58005,58005,POST,200
1/3/18 8:32 AM,23700,58005,58005,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,36550,58007,58007,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,35818,58007,58007,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,23720,58007,58007,POST,200
1/3/18 8:32 AM,19682,58005,58005,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,8080,443,55005,GET,200
1/3/18 8:32 AM,23700,58005,58005,GET,200
1/3/18 8:32 AM,64014,58007,58007,POST,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,20040,58005,58005,GET,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,2056,443,55005,GET,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,54674,58007,58007,POST,200
1/3/18 8:32 AM,4824,443,55005,GET,200
1/3/18 8:32 AM,19682,58005,58005,POST,200
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,25848,443,55005,GET,200
1/3/18 8:32 AM,35044,58007,58007,POST,200
1/3/18 8:32 AM,23720,58007,58007,POST,200
1/3/18 8:32 AM,17996,58005,58005,POST,200
1/3/18 8:32 AM,54674,58007,58007,POST,200
1/3/18 8:32 AM,62112,58007,58007,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,23322,58007,58007,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,19132,58008,58008,POST,200
1/3/18 8:32 AM,63178,58008,58008,POST,200
1/3/18 8:32 AM,58818,58005,58005,GET,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,63930,58015,58015,GET,200
1/3/18 8:32 AM,40042,58022,58022,GET,200
1/3/18 8:32 AM,57880,58010,58010,POST,200
1/3/18 8:32 AM,33008,55005,55005,GET,200
1/3/18 8:32 AM,61730,58022,58022,GET,200
1/3/18 8:32 AM,18336,55028,55028,GET,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,37228,58007,58007,POST,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,54758,58005,58005,GET,200
1/3/18 8:32 AM,33104,443,55005,GET,200
1/3/18 8:32 AM,30476,58021,58021,POST,200
1/3/18 8:32 AM,35816,58007,58007,POST,200
1/3/18 8:32 AM,60996,58007,58007,POST,200
1/3/18 8:32 AM,37210,55025,55025,POST,200
1/3/18 8:32 AM,55252,58017,58017,POST,200
1/3/18 8:32 AM,16490,55025,55025,POST,401
1/3/18 8:32 AM,34624,443,55005,GET,200
1/3/18 8:32 AM,33144,58010,58010,POST,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,40488,55078,55078,POST,401
1/3/18 8:32 AM,64014,58007,58007,POST,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,58618,58005,58005,POST,200
1/3/18 8:32 AM,35818,58007,58007,POST,200
1/3/18 8:32 AM,1520,443,55005,GET,200
1/3/18 8:32 AM,26532,58005,58005,POST,200
1/3/18 8:32 AM,16364,58010,58010,POST,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,58818,58005,58005,GET,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,59474,58007,58007,POST,200
1/3/18 8:32 AM,30042,58005,58005,GET,200
1/3/18 8:32 AM,26532,58005,58005,GET,200
1/3/18 8:32 AM,59474,58007,58007,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,33580,58021,58021,POST,200
1/3/18 8:32 AM,40136,55078,55078,POST,401
1/3/18 8:32 AM,23322,58007,58007,POST,200
1/3/18 8:32 AM,58618,58005,58005,POST,200
1/3/18 8:32 AM,36306,58007,58007,POST,200
1/3/18 8:32 AM,17996,58005,58005,GET,200
1/3/18 8:32 AM,29780,55015,55015,GET,200
1/3/18 8:32 AM,54674,58007,58007,POST,200
1/3/18 8:32 AM,20040,58005,58005,POST,200
